id,name,authors,mood
129,The Rescue,Nicholas Sparks,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
130,The Shadow Rising (The Wheel of Time  #4),Robert Jordan,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
131,The Guardian,Nicholas Sparks,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
132,A Long Way Gone: Memoirs of a Boy Soldier,Ishmael Beah,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
133,Pippi Longstocking,Astrid Lindgren/Florence Lamborn/Louis S. Glanzman,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
134,Animal Farm / 1984,George Orwell/Christopher Hitchens,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
135,The Waste Lands (The Dark Tower  #3),Stephen King/Ned Dameron,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
136,Murder on the Orient Express (Hercule Poirot  #10),Agatha Christie,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
137,Lover Awakened (Black Dagger Brotherhood  #3),J.R. Ward,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
138,Persepolis: The Story of a Childhood (Persepolis  #1),Marjane Satrapi/Mattias Ripa,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
139,The Tale of Despereaux,Kate DiCamillo/Timothy Basil Ering,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
140,The Westing Game,Ellen Raskin,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
141,Drums of Autumn (Outlander  #4),Diana Gabaldon,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
142,The Hunchback of Notre-Dame,Victor Hugo/Walter J. Cobb,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
143,Bleach  Volume 01,Tite Kubo,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
144,The Bone Collector (Lincoln Rhyme  #1),Jeffery Deaver,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
145,Lamb: The Gospel According to Biff  Christ's Childhood Pal,Christopher Moore,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
146,Shutter Island,Dennis Lehane,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
147,Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
148,Ender's Shadow (The Shadow Series  #1),Orson Scott Card,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
149,The Bluest Eye,Toni Morrison,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
150,Interpreter of Maladies,Jhumpa Lahiri,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
151,Suzanne's Diary for Nicholas,James Patterson,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
