id,name,authors,mood
352,The War of Art: Break Through the Blocks & Win Your Inner Creative Battles,Steven Pressfield/Robert McKee,[]
353,Smoke and Mirrors: Short Fiction and Illusions,Neil Gaiman,[]
354,The Bourne Ultimatum (Jason Bourne  #3),Robert Ludlum,[]
355,Pop Goes the Weasel (Alex Cross  #5),James Patterson,[]
356,The Lost Boy (Dave Pelzer #2),Dave Pelzer,[]
357,Batman: Arkham Asylum - A Serious House on Serious Earth,Grant Morrison/Dave McKean,[]
358,Circle of Friends,Maeve Binchy/René Huigen/Frans Thomése,[]
359,A Hat Full of Sky (Discworld  #32; Tiffany Aching  #2),Terry Pratchett,[]
360,Season of Mists (The Sandman  #4),Neil Gaiman/Matt Wagner/George Pratt/Dick Giordano/Kelley Jones/P. Craig Russell/Mike Dringenberg/Malcolm Jones III/Todd Klein/Harlan Ellison,[]
361,The Cat in the Hat and Other Dr. Seuss Favorites,Dr. Seuss/Various,[]
362,Illusions: The Adventures of a Reluctant Messiah,Richard Bach,[]
363,Piercing the Darkness (Darkness  #2),Frank E. Peretti,[]
364,Cursor's Fury (Codex Alera  #3),Jim Butcher,[]
365,The Demon-Haunted World: Science as a Candle in the Dark,Carl Sagan/Ann Druyan,[]
366,Dance Dance Dance,Haruki Murakami,[]
367,Emperor Mage (Immortals  #3),Tamora Pierce,[]
368,Lightning,Dean Koontz,[]
369,The Calvin and Hobbes Tenth Anniversary Book,Bill Watterson,[]
370,Wicked: The Grimmerie,David Cote/Stephen Schwartz/Joan Marcus/Winnie Holzman,[]
371,Fun Home: A Family Tragicomic,Alison Bechdel,[]
372,Mrs. Piggle-Wiggle (Mrs. Piggle Wiggle  #1),Betty MacDonald/Alexandra Boiger,[]
373,Beyond Good and Evil,Friedrich Nietzsche/R.J. Hollingdale/Michael Tanner,[]
374,Metamorphoses,Ovid/David Raeburn/Denis Feeney,[]
375,Cross (Alex Cross  #12),James Patterson,[]
376,The High King (The Chronicles of Prydain  #5),Lloyd Alexander,[]
